"Date","Price","Open","High","Low","Vol.","Change"
"Sep 28, 2018","1,154.39","1,154.67","1,160.71","1,150.75","-","1.05%"
"Sep 27, 2018","1,142.37","1,152.71","1,157.51","1,142.30","-","-1.05%"
"Sep 26, 2018","1,154.47","1,150.66","1,154.78","1,146.12","-","-0.29%"
"Sep 25, 2018","1,157.77","1,149.10","1,157.77","1,146.92","-","0.89%"
"Sep 21, 2018","1,147.51","1,145.30","1,150.03","1,143.41","-","0.83%"
"Sep 20, 2018","1,138.07","1,141.93","1,142.61","1,134.24","-","0.17%"
"Sep 19, 2018","1,136.11","1,134.86","1,141.63","1,133.38","-","1.48%"
"Sep 18, 2018","1,119.58","1,099.63","1,121.88","1,099.63","-","1.63%"
"Sep 14, 2018","1,101.62","1,097.04","1,102.00","1,095.97","-","1.11%"
"Sep 13, 2018","1,089.53","1,079.66","1,092.71","1,078.92","-","1.24%"
"Sep 12, 2018","1,076.21","1,081.56","1,082.28","1,073.05","-","-0.31%"
"Sep 11, 2018","1,079.54","1,072.76","1,080.12","1,072.09","-","0.88%"
"Sep 10, 2018","1,070.11","1,064.95","1,073.00","1,064.78","-","0.26%"
"Sep 07, 2018","1,067.37","1,067.78","1,068.91","1,060.98","-","-0.41%"
"Sep 06, 2018","1,071.77","1,073.81","1,075.92","1,070.59","-","-0.65%"
"Sep 05, 2018","1,078.83","1,085.31","1,085.71","1,076.91","-","-0.93%"
"Sep 04, 2018","1,088.91","1,091.14","1,092.73","1,086.68","-","-0.22%"
"Sep 03, 2018","1,091.27","1,096.02","1,096.54","1,089.41","-","-0.78%"
"Aug 31, 2018","1,099.90","1,096.56","1,102.22","1,095.14","-","-0.31%"
"Aug 30, 2018","1,103.29","1,110.59","1,111.41","1,102.05","-","-0.24%"
"Aug 29, 2018","1,105.93","1,102.85","1,109.38","1,102.58","-","0.36%"
"Aug 28, 2018","1,101.99","1,106.73","1,109.91","1,101.99","-","0.27%"
"Aug 27, 2018","1,099.04","1,092.06","1,100.84","1,091.55","-","1.05%"
"Aug 24, 2018","1,087.65","1,085.82","1,087.81","1,082.79","-","0.57%"
"Aug 23, 2018","1,081.45","1,083.69","1,085.09","1,080.14","-","-0.14%"
"Aug 22, 2018","1,082.92","1,075.24","1,085.10","1,074.01","-","0.71%"
"Aug 21, 2018","1,075.24","1,078.55","1,082.26","1,074.30","-","-0.54%"
"Aug 20, 2018","1,081.13","1,078.56","1,082.36","1,078.03","-","-0.17%"
"Aug 17, 2018","1,082.92","1,083.86","1,085.43","1,080.49","-","0.53%"
"Aug 16, 2018","1,077.22","1,071.53","1,080.59","1,063.06","-","-0.39%"
"Aug 15, 2018","1,081.49","1,090.33","1,091.32","1,076.69","-","-0.61%"
"Aug 14, 2018","1,088.15","1,078.26","1,088.26","1,076.70","-","1.59%"
"Aug 13, 2018","1,071.07","1,084.30","1,084.30","1,069.93","-","-1.98%"
"Aug 10, 2018","1,092.65","1,105.52","1,105.52","1,092.02","-","-1.26%"
"Aug 09, 2018","1,106.54","1,106.24","1,108.73","1,102.10","-","-0.27%"
"Aug 08, 2018","1,109.55","1,111.72","1,117.25","1,108.24","-","0.05%"
"Aug 07, 2018","1,108.99","1,100.27","1,108.99","1,099.90","-","0.92%"
"Aug 06, 2018","1,098.87","1,103.80","1,107.38","1,097.82","-","-0.35%"
"Aug 03, 2018","1,102.70","1,110.32","1,110.79","1,101.43","-","-0.39%"
"Aug 02, 2018","1,106.98","1,117.13","1,120.39","1,105.23","-","-0.99%"
"Aug 01, 2018","1,118.04","1,111.75","1,119.91","1,110.04","-","1.24%"
"Jul 31, 2018","1,104.36","1,112.40","1,115.43","1,103.38","-","-0.88%"
"Jul 30, 2018","1,114.17","1,115.85","1,117.23","1,111.64","-","-0.40%"
"Jul 27, 2018","1,118.70","1,115.20","1,118.70","1,113.84","-","0.54%"
"Jul 26, 2018","1,112.72","1,116.49","1,116.50","1,111.33","-","0.41%"
"Jul 25, 2018","1,108.21","1,107.00","1,111.69","1,107.00","-","0.43%"
"Jul 24, 2018","1,103.43","1,104.75","1,106.18","1,100.89","-","0.45%"
"Jul 23, 2018","1,098.45","1,097.13","1,104.95","1,096.87","-","-0.41%"
"Jul 20, 2018","1,102.96","1,104.59","1,110.02","1,097.21","-","-0.19%"
"Jul 19, 2018","1,105.06","1,106.77","1,111.48","1,103.78","-","0.06%"
"Jul 18, 2018","1,104.43","1,110.67","1,111.47","1,103.40","-","0.32%"
"Jul 17, 2018","1,100.96","1,094.85","1,106.90","1,093.08","-","0.80%"
"Jul 13, 2018","1,092.23","1,085.52","1,095.12","1,084.14","-","1.24%"
"Jul 12, 2018","1,078.85","1,076.69","1,082.49","1,075.64","-","0.57%"
"Jul 11, 2018","1,072.69","1,073.75","1,075.26","1,064.30","-","-0.81%"
"Jul 10, 2018","1,081.42","1,085.18","1,090.38","1,081.42","-","0.43%"
"Jul 09, 2018","1,076.84","1,067.15","1,078.21","1,066.43","-","1.18%"
"Jul 06, 2018","1,064.29","1,060.55","1,068.18","1,060.24","-","0.90%"
"Jul 05, 2018","1,054.76","1,061.23","1,062.63","1,052.13","-","-0.78%"
"Jul 04, 2018","1,063.00","1,060.77","1,066.24","1,057.04","-","-0.01%"
"Jul 03, 2018","1,063.06","1,066.36","1,068.37","1,054.80","-","0.04%"
"Jul 02, 2018","1,062.60","1,079.03","1,082.83","1,061.73","-","-1.82%"
"Jun 29, 2018","1,082.26","1,080.59","1,082.29","1,073.66","-","0.24%"
"Jun 28, 2018","1,079.62","1,078.51","1,080.53","1,073.22","-","-0.11%"
"Jun 27, 2018","1,080.85","1,083.18","1,084.65","1,076.88","-","-0.25%"
"Jun 26, 2018","1,083.58","1,076.43","1,085.43","1,072.46","-","0.10%"
"Jun 25, 2018","1,082.48","1,094.20","1,094.41","1,081.25","-","-0.84%"
"Jun 22, 2018","1,091.65","1,085.82","1,092.35","1,084.82","-","-0.56%"
"Jun 21, 2018","1,097.77","1,096.74","1,102.21","1,094.57","-","0.01%"
